838357.0,1793
841546.0,4038
842047.0,2926
845611.0,3411
846472.0,2704
846940.0,1580
847246.0,157
847940.0,4934
848447.0,156
850585.0,149
852770.0,2197
855307.0,621
856720.0,4388
857888.0,188
858801.0,357
860497.0,3681
860705.0,4148
861854.0,2090
862850.0,2681
863412.0,2215
864250.0,4413
864644.0,4085
865450.0,1782
870113.0,3370
870204.0,4080
872659.0,2973
874855.0,2784
874962.0,2887
875234.0,783
876336.0,1593
878544.0,1006
882937.0,3550
883296.0,4851
883561.0,1695
885110.0,1522
887012.0,1654
887426.0,218
887514.0,71
889323.0,2205
890292.0,2456
890459.0,2914
892330.0,4398
896710.0,3456
898548.0,3721
898784.0,3
899057.0,4454
901040.0,947
902475.0,4789
903894.0,30
905403.0,3176
905896.0,1045
906831.0,3398
908102.0,3190
908843.0,3753
911745.0,1527
913619.0,3615
914698.0,972
915971.0,2161
916341.0,3812
917339.0,2240
917517.0,2667
918035.0,3033
922842.0,3189
925327.0,55
927552.0,4017
927675.0,4294
932255.0,1188
932541.0,3708
933643.0,295
934428.0,1731
937819.0,3317
938943.0,2548
940405.0,3979
941876.0,1752
943601.0,2588
944283.0,3453
947260.0,4044
948149.0,3875
948193.0,1807
949409.0,1127
950446.0,3576
950694.0,418
950710.0,2635
951047.0,1962
953000.0,1637
953743.0,1088
954027.0,3352
956811.0,2077
957467.0,614
960847.0,3011
961290.0,2484
961608.0,828
962115.0,3467
962830.0,1256
964312.0,3582
964545.0,877
966750.0,602
967204.0,278
970022.0,3717
970805.0,699
971593.0,544
971791.0,2973
972511.0,3987
973500.0,2456
974678.0,3304
978551.0,2487
979013.0,1194
980161.0,4489
980474.0,2848
980693.0,207
983732.0,4598
984335.0,1345
984676.0,250
985254.0,1528
987737.0,3560
988745.0,2042
991507.0,3387
992484.0,600
992720.0,3122
993000.0,4544
993233.0,3146
993554.0,857
993737.0,1583
994071.0,4175
995547.0,112
1000025.0,1448
1000273.0,1926
1001591.0,53
1001903.0,4301
1002917.0,1563
1003362.0,2609
1003595.0,828
1009077.0,1366
